group,presetId,candidate,directionClass,technique,legal,netClearance,firstLandingX,secondLandingX,firstLandingZ,secondLandingZ,outcome,success,landingX,outOmegaY,inOmegaY,retentionY,fallbackSolver
G1,serve_contact_sidebackspin_002,,,control,true,1.469662649355996e-7,0.34823749066734994,0.2464267813905304,-0.9005551344537209,1.2961146900962495,,,,,,,
G1,serve_contact_sidebackspin_003,,,control,true,0.0025309657040069045,0.041034323656625175,-0.4376099195633499,-0.456171222229205,0.32484021993749923,,,,,,,
G1,serve_contact_sidebackspin_004,,,control,true,1.6724357265740508e-7,0.3701067937231886,0.6481152234228037,-0.9007321407397736,1.2765665975907206,,,,,,,
G1,serve_contact_sidebackspin_005,,,control,true,0.0026663005350833213,0.22224354238828742,0.3613067579867407,-0.44751367657592467,0.4087027717537431,,,,,,,
G1,serve_contact_sidebackspin_006,,,control,true,1.6724357265740508e-7,0.3701067937231886,0.6481152234228037,-0.9007321407397736,1.2765665975907206,,,,,,,
G1,serve_contact_sidebackspin_007,,,control,true,1.469662649355996e-7,0.34823749066734994,0.2464267813905304,-0.9005551344537209,1.2961146900962495,,,,,,,
G1,serve_contact_sidebackspin_008,,,control,true,0.0025309657040069045,0.041034323656625175,-0.4376099195633499,-0.456171222229205,0.32484021993749923,,,,,,,
G1,serve_contact_sidebackspin_009,,,control,true,1.469662649355996e-7,0.34823749066734994,0.2464267813905304,-0.9005551344537209,1.2961146900962495,,,,,,,
G1,serve_contact_sidebackspin_010,,,control,true,0.0025309657040069045,0.041034323656625175,-0.4376099195633499,-0.456171222229205,0.32484021993749923,,,,,,,
G1,serve_contact_sidebackspin_011,,,control,true,0.0026663005350833213,0.22224354238828742,0.3613067579867407,-0.44751367657592467,0.4087027717537431,,,,,,,
G1,serve_contact_sidebackspin_012,,,control,true,1.6724357265740508e-7,0.3701067937231886,0.6481152234228037,-0.9007321407397736,1.2765665975907206,,,,,,,
G1,serve_contact_sidebackspin_013,,,control,true,0.0026663005350833213,0.22224354238828742,0.3613067579867407,-0.44751367657592467,0.4087027717537431,,,,,,,
G1,serve_contact_backspin_002,,,control,true,1.7295971210806727e-8,0.3591445533991032,0.44770069147867414,-0.9007510059630227,1.2965918832931402,,,,,,,
G1,serve_contact_backspin_003,,,control,true,0.002732435775748554,0.13980447928153805,0.12281005518072778,-0.4452395606390565,0.42715385046256,,,,,,,
G1,serve_contact_backspin_004,,,control,true,1.7295971210806727e-8,0.3591445533991032,0.44770069147867414,-0.9007510059630227,1.2965918832931402,,,,,,,
G1,serve_contact_backspin_005,,,control,true,0.010747770709030546,0.13185285431886312,-0.11676426204670914,-0.4337818656472135,0.42697495096355853,,,,,,,
G1,serve_contact_backspin_006,,,control,true,1.7295971210806727e-8,0.3591445533991032,0.44770069147867414,-0.9007510059630227,1.2965918832931402,,,,,,,
G1,serve_contact_backspin_007,,,control,true,0.002732435775748554,0.13980447928153805,0.12281005518072778,-0.4452395606390565,0.42715385046256,,,,,,,
G1,serve_contact_backspin_008,,,control,true,1.7295971210806727e-8,0.3591445533991032,0.44770069147867414,-0.9007510059630227,1.2965918832931402,,,,,,,
G1,serve_contact_backspin_009,,,control,true,0.010747770709030546,0.13185285431886312,-0.11676426204670914,-0.4337818656472135,0.42697495096355853,,,,,,,
G1,serve_contact_backspin_010,,,control,true,1.7295971210806727e-8,0.3591445533991032,0.44770069147867414,-0.9007510059630227,1.2965918832931402,,,,,,,
G1,serve_contact_backspin_011,,,control,true,0.002732435775748554,0.13980447928153805,0.12281005518072778,-0.4452395606390565,0.42715385046256,,,,,,,
G1,serve_contact_sidespin_002,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_003,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_sidespin_004,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_005,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_sidespin_006,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_007,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_sidespin_008,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_009,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_sidespin_010,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_011,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_sidespin_012,,,control,true,0.008428701435170716,0.3490431265153519,0.26596972705359223,-0.8908275335820697,1.1693294625962456,,,,,,,
G1,serve_contact_sidespin_013,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_014,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_sidespin_015,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_016,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_sidespin_017,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_018,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_sidespin_019,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G1,serve_contact_sidespin_020,,,control,true,0.01558475164504547,0.0665002151925104,-0.4384697817068523,-0.48418423522286946,0.36657755715335905,,,,,,,
G1,serve_contact_sidespin_021,,,control,true,0.008428701435170716,0.3490431265153519,0.26596972705359223,-0.8908275335820697,1.1693294625962456,,,,,,,
G1,serve_contact_sidespin_022,,,control,true,0.01558475164504547,0.0665002151925104,-0.4384697817068523,-0.48418423522286946,0.36657755715335905,,,,,,,
G1,serve_contact_sidespin_023,,,control,true,0.004391288554246864,0.20989751511405003,0.3486853197068561,-0.4558121031886417,0.5201422109398339,,,,,,,
G1,serve_contact_nospin_002,,,control,true,0.008897020507320885,0.35999991750491467,0.4442988991555518,-0.890001299297589,1.1849345348656721,,,,,,,
G1,serve_contact_nospin_003,,,control,true,0.026347480391760825,0.1399993546713466,0.12175811962751638,-0.4499769832780553,0.47178957592575166,,,,,,,
G1,serve_contact_nospin_004,,,control,true,0.008897020507320885,0.35999991750491467,0.4442988991555518,-0.890001299297589,1.1849345348656721,,,,,,,
G2,serve_contact_sidebackspin_004,,,control,false,-0.0005821590179142522,0.3455403409044175,,-0.8991922871321563,,,,,,,,
G2,serve_contact_sidebackspin_004,,,control,false,-0.0005686344102792118,0.3482734530373845,,-0.8993048328729799,,,,,,,,
G2,serve_contact_sidebackspin_004,,,control,false,-0.0005036417937386295,0.3537375738110466,,-0.899573871265325,,,,,,,,
G2,serve_contact_sidebackspin_004,,,control,false,-0.0003877536255207925,0.35919830493693716,,-0.8999014704565756,,,,,,,,
G2,serve_contact_sidebackspin_004,,,control,false,-0.0002202184208343061,0.3646549450683076,,-0.9002875801591016,,,,,,,,
G2,serve_contact_sidebackspin_004,,,control,true,1.6724357265740508e-7,0.3701067937231886,0.6481152234228037,-0.9007321407397736,1.2765665975907206,,,,,,,
G2,serve_contact_sidebackspin_004,,,control,true,0.0001306832373025868,0.37283070261826456,0.6980082115396866,-0.9009763189229192,1.269069069014851,,,,,,,
G2,serve_contact_sidebackspin_003,,,control,false,-0.005424176195666042,0.03769128088157072,,-0.4581102090625778,,,,,,,,
G2,serve_contact_sidebackspin_003,,,control,true,0.003828632375896923,0.05452670635960569,-0.3899353010874883,-0.4485535819437432,0.3546460330156473,,,,,,,
G2,serve_contact_sidebackspin_003,,,control,true,0.0044494903791841844,0.08888173987173323,-0.26637957112887894,-0.43052395704163515,0.4215432295535396,,,,,,,
G2,serve_contact_sidebackspin_003,,,control,true,0.003010477762601438,0.12408542233960175,-0.1374764179308821,-0.41397804559835083,0.4771349688683783,,,,,,,
G2,serve_contact_sidebackspin_003,,,control,true,0.000640786773412505,0.16006170293453867,-0.02469117911308921,-0.3989662463852104,0.5215329422949858,,,,,,,
G2,serve_contact_sidebackspin_003,,,control,false,-0.00198826765542226,0.19673082545593887,,-0.38553433702779705,,,,,,,,
G2,serve_contact_sidebackspin_003,,,control,false,-0.003293548643096278,0.2152993483641291,,-0.37942380056871094,,,,,,,,
G2,serve_contact_sidespin_002,,,control,true,0.009363815813720255,0.34622371475547087,0.22110767973285886,-0.8938410658411687,1.1635381551619692,,,,,,,
G2,serve_contact_sidespin_002,,,control,true,0.009375781571447916,0.3489228190622487,0.2655165936848858,-0.8939502177356191,1.165833624636172,,,,,,,
G2,serve_contact_sidespin_002,,,control,true,0.009441479033153177,0.3543192211173246,0.35444889228733023,-0.8942098824974007,1.1678513069609224,,,,,,,
G2,serve_contact_sidespin_002,,,control,true,0.009563257700569538,0.35971271929437804,0.44349403715669644,-0.8945246711135396,1.1664338826619474,,,,,,,
G2,serve_contact_sidespin_002,,,control,true,0.009742064460813826,0.36510271973513836,0.5326039865278076,-0.8948945490763096,1.1615675647331978,,,,,,,
G2,serve_contact_sidespin_002,,,control,true,0.009979402018926997,0.37048862898574114,0.6217291151010467,-0.8953194755085385,1.1532283962051715,,,,,,,
G2,serve_contact_sidespin_002,,,control,true,0.010120647042212383,0.3731798640872458,0.6662810861769946,-0.895552567386043,1.1477462287191775,,,,,,,
G2,serve_contact_sidespin_020,,,control,true,0.015305226031987695,0.06351203377984087,-0.45014491221182423,-0.4857491288505389,0.3596237154528395,,,,,,,
G2,serve_contact_sidespin_020,,,control,true,0.016446781771511154,0.0785314344744979,-0.39117811499043387,-0.47802723004442593,0.39346690496132625,,,,,,,
