# push tiltY x 固定tiltX x 揮拍方向x過量修正 3軸校準掃描(return-studio.html, push 技術, forehand 側)

> 研究工具輸出，非 game4.html 正式驗收。只逐一計算每個組合的分數，不自動找最佳解。
Updated: 2026-07-13T05:05:33.397Z
Presets: 11（原始16顆，排除 5 顆：no_spin_long_forehand, no_spin_long_backhand, backspin_short_forehand_2, backspin_short_backhand_2, backspin_short_backhand）
sidebackspin_* presets tracked: 7

健檢（reimplementation vs. 未覆寫原始碼, tiltY=1, tiltXFixed=0, overcorrectScale=0）：PASS，逐 preset 完全一致

設計說明：tiltX 現在是固定候選值（不是 vx 的函式）；改成「揮拍方向 x 分量」
依 vx 做過量修正，公式基礎迴歸（game4.html 來源）：
clamp(-0.1436 - 0.5376*vx, -1.2, 1.2)，這裡整條乘上 overcorrectScale 縮放：
- overcorrectScale=0
- overcorrectScale=0.25
- overcorrectScale=0.5
- overcorrectScale=0.75
- overcorrectScale=1
- overcorrectScale=1.5

## Summary

tiltY | 換算角度 | tiltX(固定) | overcorrectScale | pass/total | sidebackspin pass | 失敗 preset
1 | 45° | 0.4 | 0.75 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1 | 45° | 0.4 | 1 | 5/11 | 2/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); sidebackspin_short_forehand(掛網)
1 | 45° | 0.4 | 1.5 | 3/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_long_forehand_2(掛網); sidebackspin_short_forehand(掛網)
1 | 45° | 0.5 | 0 | 8/11 | 4/7 | sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1 | 45° | 0.5 | 0.25 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1 | 45° | 0.5 | 0.5 | 4/11 | 2/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_short_forehand(掛網); sidebackspin_short_forehand(掛網)
1 | 45° | 0.5 | 0.75 | 3/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_short_forehand(掛網); sidebackspin_short_forehand(掛網)
1 | 45° | 0.5 | 1 | 2/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_long_forehand_2(掛網); backspin_short_forehand(掛網); sidebackspin_short_forehand(掛網)
1 | 45° | 0.5 | 1.5 | 1/11 | 0/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(掛網); backspin_long_forehand_2(掛網); backspin_short_forehand(掛網); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0 | 0 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.1 | 42.2737° | 0 | 0.25 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.1 | 42.2737° | 0 | 0.5 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.1 | 42.2737° | 0 | 0.75 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.1 | 42.2737° | 0 | 1 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.1 | 42.2737° | 0 | 1.5 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.1 | 42.2737° | 0.1 | 0 | 6/11 | 3/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); backspin_long_forehand(出界)
1.1 | 42.2737° | 0.1 | 0.25 | 6/11 | 2/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界)
1.1 | 42.2737° | 0.1 | 0.5 | 7/11 | 3/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界)
1.1 | 42.2737° | 0.1 | 0.75 | 6/11 | 3/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界)
1.1 | 42.2737° | 0.1 | 1 | 6/11 | 3/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界)
1.1 | 42.2737° | 0.1 | 1.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界)
1.1 | 42.2737° | 0.2 | 0 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.2 | 0.25 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.2 | 0.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.2 | 0.75 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.2 | 1 | 8/11 | 5/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界)
1.1 | 42.2737° | 0.2 | 1.5 | 8/11 | 5/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界)
1.1 | 42.2737° | 0.3 | 0 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.3 | 0.25 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.3 | 0.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.3 | 0.75 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.3 | 1 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.3 | 1.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.4 | 0 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.4 | 0.25 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.4 | 0.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.4 | 0.75 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.4 | 1 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.4 | 1.5 | 5/11 | 2/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.5 | 0 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.5 | 0.25 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.5 | 0.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.5 | 0.75 | 4/11 | 2/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_short_forehand(掛網); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.5 | 1 | 3/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_short_forehand(掛網); sidebackspin_short_forehand(掛網)
1.1 | 42.2737° | 0.5 | 1.5 | 2/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_long_forehand_2(掛網); backspin_short_forehand(掛網); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0 | 0 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0 | 0.25 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0 | 0.5 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0 | 0.75 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0 | 1 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0 | 1.5 | 4/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0.1 | 0 | 3/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0.1 | 0.25 | 3/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0.1 | 0.5 | 3/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0.1 | 0.75 | 4/11 | 2/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0.1 | 1 | 5/11 | 3/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0.1 | 1.5 | 5/11 | 3/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); backspin_long_forehand(出界)
1.2 | 39.8056° | 0.2 | 0 | 6/11 | 3/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.2 | 0.25 | 6/11 | 3/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.2 | 0.5 | 6/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); backspin_long_forehand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.2 | 0.75 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.2 | 1 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.2 | 1.5 | 8/11 | 5/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界)
1.2 | 39.8056° | 0.3 | 0 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.3 | 0.25 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.3 | 0.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.3 | 0.75 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.3 | 1 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.3 | 1.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.4 | 0 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.4 | 0.25 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.4 | 0.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.4 | 0.75 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.4 | 1 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.4 | 1.5 | 6/11 | 3/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.5 | 0 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.5 | 0.25 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.5 | 0.5 | 7/11 | 4/7 | backspin_long_backhand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.5 | 0.75 | 5/11 | 2/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.5 | 1 | 4/11 | 2/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_short_forehand(出界); sidebackspin_short_forehand(掛網)
1.2 | 39.8056° | 0.5 | 1.5 | 2/11 | 1/7 | backspin_long_backhand(出界); sidebackspin_long_forehand(掛網); sidebackspin_half_long_forehand(掛網); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_3(掛網); backspin_long_forehand_2(掛網); backspin_short_forehand(掛網); sidebackspin_short_forehand(掛網)
1.3 | 37.5686° | 0 | 0 | 3/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界); backspin_long_forehand_2(出界)
1.3 | 37.5686° | 0 | 0.25 | 3/11 | 1/7 | sidebackspin_long_forehand(出界); sidebackspin_half_long_forehand(出界); sidebackspin_half_long_backhand(出界); sidebackspin_long_backhand(出界); sidebackspin_long_forehand_2(出界); sidebackspin_long_forehand_3(出界); backspin_long_forehand(出界); backspin_long_forehand_2(出界)
